timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750703224726,7,character/2,404,Not Found,Thread Group 1-8,text,false,,273,229,8,8,http://localhost:3001/character/7,7,0,0
1750703224728,5,characters,200,OK,Thread Group 1-4,text,true,,340,122,8,8,http://localhost:3001/characters,5,0,0
1750703224720,13,characters,200,OK,Thread Group 1-10,text,true,,340,122,8,8,http://localhost:3001/characters,13,0,0
1750703224714,19,characters,200,OK,Thread Group 1-9,text,true,,340,122,8,8,http://localhost:3001/characters,19,0,0
1750703224729,4,character/2,404,Not Found,Thread Group 1-3,text,false,,273,229,8,8,http://localhost:3001/character/0,4,0,0
1750703224721,12,characters/id,404,Not Found,Thread Group 1-6,text,false,,273,123,8,8,http://localhost:3001/character/0,12,0,0
1750703224725,8,characters/id,200,OK,Thread Group 1-7,text,true,,264,123,8,8,http://localhost:3001/character/1,8,0,0
1750703224734,2,character/2,404,Not Found,Thread Group 1-4,text,false,,273,229,9,9,http://localhost:3001/character/9,2,0,0
1750703224734,4, HTTP Request Sampler,200,OK,Thread Group 1-6,text,true,,340,122,10,10,http://localhost:3001/characters,4,0,0
1750703224734,5, HTTP Request Sampler,200,OK,Thread Group 1-7,text,true,,340,122,10,10,http://localhost:3001/characters,5,0,0
1750703224734,6,characters/id,404,Not Found,Thread Group 1-3,text,false,,273,123,10,10,http://localhost:3001/character/8,6,0,0
1750703224734,7,character/2,200,OK,Thread Group 1-10,text,true,,264,229,10,10,http://localhost:3001/character/1,7,0,0
1750703224734,8,characters/id,200,OK,Thread Group 1-8,text,true,,264,123,10,10,http://localhost:3001/character/1,8,0,0
1750703224734,9,character/2,404,Not Found,Thread Group 1-5,text,false,,273,229,11,11,http://localhost:3001/character/5,9,0,0
1750703224734,10,character/2,404,Not Found,Thread Group 1-9,text,false,,273,229,12,12,http://localhost:3001/character/6,10,0,0
1750703224736,10,characters/id,404,Not Found,Thread Group 1-4,text,false,,273,123,12,12,http://localhost:3001/character/0,10,0,0
1750703224738,9,characters,200,OK,Thread Group 1-6,text,true,,340,122,12,12,http://localhost:3001/characters,9,0,0
1750703224739,9,characters,200,OK,Thread Group 1-7,text,true,,340,122,12,12,http://localhost:3001/characters,9,0,0
1750703224740,9, HTTP Request Sampler,200,OK,Thread Group 1-3,text,true,,340,122,12,12,http://localhost:3001/characters,9,0,0
1750703224741,10,characters/id,200,OK,Thread Group 1-10,text,true,,268,123,11,11,http://localhost:3001/character/3,10,0,0
1750703224742,10, HTTP Request Sampler,200,OK,Thread Group 1-8,text,true,,340,122,11,11,http://localhost:3001/characters,10,0,0
1750703224743,11,characters/id,404,Not Found,Thread Group 1-5,text,false,,273,123,12,12,http://localhost:3001/character/9,11,0,0
1750703224746,9, HTTP Request Sampler,200,OK,Thread Group 1-4,text,true,,340,122,12,12,http://localhost:3001/characters,9,0,0
1750703224747,9,character/2,404,Not Found,Thread Group 1-6,text,false,,273,229,11,11,http://localhost:3001/character/0,9,0,0
1750703224748,9,character/2,404,Not Found,Thread Group 1-7,text,false,,273,229,11,11,http://localhost:3001/character/7,9,0,0
1750703224751,7, HTTP Request Sampler,200,OK,Thread Group 1-10,text,true,,340,122,11,11,http://localhost:3001/characters,7,0,0
1750703224744,15,characters/id,404,Not Found,Thread Group 1-9,text,false,,273,123,11,11,http://localhost:3001/character/4,15,0,0
1750703224734,26,characters,200,OK,Thread Group 1-11,text,true,,340,122,11,11,http://localhost:3001/characters,26,0,1
1750703224756,5,characters/id,404,Not Found,Thread Group 1-6,text,false,,273,123,12,12,http://localhost:3001/character/9,5,0,0
