timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1750703224721,12,characters/id,404,Not Found,Thread Group 1-6,false,,273,8,8,12,1,1,T-OZEROVA.local
1750703224725,8,characters/id,200,OK,Thread Group 1-7,true,,264,8,8,8,1,0,T-OZEROVA.local
1750703224734,2,character/2,404,Not Found,Thread Group 1-4,false,,273,9,9,2,1,1,T-OZEROVA.local
1750703224734,4, HTTP Request Sampler,200,OK,Thread Group 1-6,true,,340,10,10,4,1,0,T-OZEROVA.local
1750703224734,5, HTTP Request Sampler,200,OK,Thread Group 1-7,true,,340,10,10,5,1,0,T-OZEROVA.local
1750703224734,6,characters/id,404,Not Found,Thread Group 1-3,false,,273,10,10,6,1,1,T-OZEROVA.local
1750703224734,7,character/2,200,OK,Thread Group 1-10,true,,264,10,10,7,1,0,T-OZEROVA.local
1750703224734,8,characters/id,200,OK,Thread Group 1-8,true,,264,10,10,8,1,0,T-OZEROVA.local
1750703224734,9,character/2,404,Not Found,Thread Group 1-5,false,,273,11,11,9,1,1,T-OZEROVA.local
1750703224734,10,character/2,404,Not Found,Thread Group 1-9,false,,273,12,12,10,1,1,T-OZEROVA.local
1750703224736,10,characters/id,404,Not Found,Thread Group 1-4,false,,273,12,12,10,1,1,T-OZEROVA.local
1750703224738,9,characters,200,OK,Thread Group 1-6,true,,340,12,12,9,1,0,T-OZEROVA.local
1750703224739,9,characters,200,OK,Thread Group 1-7,true,,340,12,12,9,1,0,T-OZEROVA.local
1750703224740,9, HTTP Request Sampler,200,OK,Thread Group 1-3,true,,340,12,12,9,1,0,T-OZEROVA.local
1750703224741,10,characters/id,200,OK,Thread Group 1-10,true,,268,11,11,10,1,0,T-OZEROVA.local
1750703224742,10, HTTP Request Sampler,200,OK,Thread Group 1-8,true,,340,11,11,10,1,0,T-OZEROVA.local
1750703224743,11,characters/id,404,Not Found,Thread Group 1-5,false,,273,12,12,11,1,1,T-OZEROVA.local
1750703224746,9, HTTP Request Sampler,200,OK,Thread Group 1-4,true,,340,12,12,9,1,0,T-OZEROVA.local
1750703224747,9,character/2,404,Not Found,Thread Group 1-6,false,,273,11,11,9,1,1,T-OZEROVA.local
1750703224748,9,character/2,404,Not Found,Thread Group 1-7,false,,273,11,11,9,1,1,T-OZEROVA.local
1750703224751,7, HTTP Request Sampler,200,OK,Thread Group 1-10,true,,340,11,11,7,1,0,T-OZEROVA.local
1750703224744,15,characters/id,404,Not Found,Thread Group 1-9,false,,273,11,11,15,1,1,T-OZEROVA.local
1750703224734,26,characters,200,OK,Thread Group 1-11,true,,340,11,11,26,1,0,T-OZEROVA.local
1750703224756,5,characters/id,404,Not Found,Thread Group 1-6,false,,273,12,12,5,1,1,T-OZEROVA.local
1750703224757,6,characters/id,404,Not Found,Thread Group 1-7,false,,273,12,12,6,1,1,T-OZEROVA.local
1750703224758,6,characters,200,OK,Thread Group 1-10,true,,340,12,12,6,1,0,T-OZEROVA.local
1750703224759,6, HTTP Request Sampler,200,OK,Thread Group 1-9,true,,340,12,12,6,1,0,T-OZEROVA.local
1750703224760,6,character/2,404,Not Found,Thread Group 1-11,false,,273,12,12,6,1,1,T-OZEROVA.local
1750703224753,14,characters,200,OK,Thread Group 1-8,true,,340,13,13,14,1,0,T-OZEROVA.local
1750703224754,15, HTTP Request Sampler,200,OK,Thread Group 1-5,true,,340,14,14,15,1,0,T-OZEROVA.local
1750703224737,34,characters,200,OK,Thread Group 1-12,true,,340,14,14,34,1,0,T-OZEROVA.local
1750703224762,10, HTTP Request Sampler,200,OK,Thread Group 1-6,true,,340,14,14,10,1,0,T-OZEROVA.local
1750703224763,10, HTTP Request Sampler,200,OK,Thread Group 1-7,true,,340,14,14,10,1,0,T-OZEROVA.local
