timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750702111526,2, HTTP Request Sampler,200,OK,Thread Group 1-7,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702111528,2,characters,200,OK,Thread Group 1-7,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702111530,3,character/2,404,Not Found,Thread Group 1-7,text,false,,273,229,1,1,http://localhost:3001/character/6,3,0,0
1750702111533,2,characters/id,404,Not Found,Thread Group 1-7,text,false,,273,123,1,1,http://localhost:3001/character/5,2,0,0
1750702111536,1, HTTP Request Sampler,200,OK,Thread Group 1-7,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702111808,4,characters,200,OK,Thread Group 1-8,text,true,,340,122,1,1,http://localhost:3001/characters,4,0,1
1750702111813,1,character/2,200,OK,Thread Group 1-8,text,true,,264,229,1,1,http://localhost:3001/character/1,1,0,0
1750702111815,1,characters/id,404,Not Found,Thread Group 1-8,text,false,,273,123,1,1,http://localhost:3001/character/6,1,0,0
1750702111816,2, HTTP Request Sampler,200,OK,Thread Group 1-8,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702111818,2,characters,200,OK,Thread Group 1-8,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702111820,1,character/2,404,Not Found,Thread Group 1-8,text,false,,273,229,1,1,http://localhost:3001/character/5,1,0,0
1750702111822,1,characters/id,404,Not Found,Thread Group 1-8,text,false,,273,123,1,1,http://localhost:3001/character/6,1,0,0
1750702111823,2, HTTP Request Sampler,200,OK,Thread Group 1-8,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702112102,3,characters,200,OK,Thread Group 1-9,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,1
1750702112105,1,character/2,404,Not Found,Thread Group 1-9,text,false,,273,229,1,1,http://localhost:3001/character/5,1,0,0
1750702112106,2,characters/id,200,OK,Thread Group 1-9,text,true,,264,123,1,1,http://localhost:3001/character/1,2,0,0
1750702112108,1, HTTP Request Sampler,200,OK,Thread Group 1-9,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112110,1,characters,200,OK,Thread Group 1-9,text,true,,340,122,1,1,http://localhost:3001/characters,1,0,0
1750702112112,2,character/2,200,OK,Thread Group 1-9,text,true,,264,229,1,1,http://localhost:3001/character/1,2,0,0
1750702112115,1,characters/id,200,OK,Thread Group 1-9,text,true,,264,123,1,1,http://localhost:3001/character/1,1,0,0
1750702112116,2, HTTP Request Sampler,200,OK,Thread Group 1-9,text,true,,340,122,1,1,http://localhost:3001/characters,2,0,0
1750702112392,3,characters,200,OK,Thread Group 1-10,text,true,,340,122,1,1,http://localhost:3001/characters,3,0,0
1750702112395,2,character/2,404,Not Found,Thread Group 1-10,text,false,,273,229,1,1,http://localhost:3001/character/9,2,0,0
